LevelingScore,Person,DateCollected,ImageType,GSCamera,PanelID,State,FilePath
2.3,,,DD,,25-122,raw,data\raw\2\Leveling-2_GS-25-122 (4).png
2.3,,,DD,,25-122,raw,data\raw\2\Leveling-2_GS-25-122 (5).png
2.3,,,DD,,25-122,raw,data\raw\2\Leveling-2_GS-25-122.png
2.2,,,DD,,25-123,raw,data\raw\2\Leveling-2_GS-25-123 (1).png
2.2,,,DD,,25-123,raw,data\raw\2\Leveling-2_GS-25-123 (2).png
2.2,,,DD,,25-123,raw,data\raw\2\Leveling-2_GS-25-123 (3).png
2.2,,,DD,,25-123,raw,data\raw\2\Leveling-2_GS-25-123 (4).png
2.2,,,DD,,25-123,raw,data\raw\2\Leveling-2_GS-25-123 (5).png
2.2,,,DD,,25-123,raw,data\raw\2\Leveling-2_GS-25-123.png
2.2,,,DD,,25-129,raw,data\raw\2\Leveling-2_GS-25-129_0degrees (1).png
2.2,,,DD,,25-129,raw,data\raw\2\Leveling-2_GS-25-129_0degrees (2).png
2.2,,,DD,,25-129,raw,data\raw\2\Leveling-2_GS-25-129_0degrees (3).png
2.2,,,DD,,25-129,raw,data\raw\2\Leveling-2_GS-25-129_0degrees (4).png
2.2,,,DD,,25-129,raw,data\raw\2\Leveling-2_GS-25-129_0degrees (5).png
2.2,,,DD,,25-129,raw,data\raw\2\Leveling-2_GS-25-129_0degrees.png
2.7,,,DD,,25-138,raw,data\raw\2\Leveling-2_GS-25-138_0degrees (1).png
2.7,,,DD,,25-138,raw,data\raw\2\Leveling-2_GS-25-138_0degrees (2).png
2.7,,,DD,,25-138,raw,data\raw\2\Leveling-2_GS-25-138_0degrees (3).png
2.7,,,DD,,25-138,raw,data\raw\2\Leveling-2_GS-25-138_0degrees (4).png
2.7,,,DD,,25-138,raw,data\raw\2\Leveling-2_GS-25-138_0degrees (5).png
2.7,,,DD,,25-138,raw,data\raw\2\Leveling-2_GS-25-138_0degrees.png
2.0,,,DD,,25-139,raw,data\raw\2\Leveling-2_GS-25-139_0degrees (1).png
2.0,,,DD,,25-139,raw,data\raw\2\Leveling-2_GS-25-139_0degrees (2).png
2.0,,,DD,,25-139,raw,data\raw\2\Leveling-2_GS-25-139_0degrees (3).png
2.0,,,DD,,25-139,raw,data\raw\2\Leveling-2_GS-25-139_0degrees (4).png
2.0,,,DD,,25-139,raw,data\raw\2\Leveling-2_GS-25-139_0degrees (5).png
2.0,,,DD,,25-139,raw,data\raw\2\Leveling-2_GS-25-139_0degrees.png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100 (1).png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100 (10).png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100 (11).png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100 (12).png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100 (2).png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100 (3).png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100 (4).png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100 (5).png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100 (6).png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100 (7).png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100 (8).png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100 (9).png
2.2,,,DD,,25-100,raw,data\raw\3\Leveling-3_GS-25-100.png
1.8,,,DD,,25-102,raw,data\raw\3\Leveling-3_GS-25-102 (1).png
1.8,,,DD,,25-102,raw,data\raw\3\Leveling-3_GS-25-102 (2).png
1.8,,,DD,,25-102,raw,data\raw\3\Leveling-3_GS-25-102 (3).png
1.8,,,DD,,25-102,raw,data\raw\3\Leveling-3_GS-25-102 (4).png
1.8,,,DD,,25-102,raw,data\raw\3\Leveling-3_GS-25-102 (5).png
1.8,,,DD,,25-102,raw,data\raw\3\Leveling-3_GS-25-102.png
2.5,,,DD,,25-103,raw,data\raw\3\Leveling-3_GS-25-103 (1).png
2.5,,,DD,,25-103,raw,data\raw\3\Leveling-3_GS-25-103 (2).png
2.5,,,DD,,25-103,raw,data\raw\3\Leveling-3_GS-25-103 (3).png
2.5,,,DD,,25-103,raw,data\raw\3\Leveling-3_GS-25-103 (4).png
2.5,,,DD,,25-103,raw,data\raw\3\Leveling-3_GS-25-103.png
2.3,,,DD,,25-109,raw,data\raw\3\Leveling-3_GS-25-109 (1).png
2.3,,,DD,,25-109,raw,data\raw\3\Leveling-3_GS-25-109 (2).png
2.3,,,DD,,25-109,raw,data\raw\3\Leveling-3_GS-25-109 (3).png
2.3,,,DD,,25-109,raw,data\raw\3\Leveling-3_GS-25-109 (4).png
2.3,,,DD,,25-109,raw,data\raw\3\Leveling-3_GS-25-109 (5).png
2.3,,,DD,,25-109,raw,data\raw\3\Leveling-3_GS-25-109.png
2.5,,,DD,,25-113,raw,data\raw\3\Leveling-3_GS-25-113 (1).png
2.5,,,DD,,25-113,raw,data\raw\3\Leveling-3_GS-25-113 (2).png
2.5,,,DD,,25-113,raw,data\raw\3\Leveling-3_GS-25-113 (3).png
2.5,,,DD,,25-113,raw,data\raw\3\Leveling-3_GS-25-113 (4).png
2.5,,,DD,,25-113,raw,data\raw\3\Leveling-3_GS-25-113 (5).png
2.5,,,DD,,25-113,raw,data\raw\3\Leveling-3_GS-25-113.png
3.7,,,DD,,25-116,raw,data\raw\3\Leveling-3_GS-25-116 (1).png
3.7,,,DD,,25-116,raw,data\raw\3\Leveling-3_GS-25-116 (2).png
3.7,,,DD,,25-116,raw,data\raw\3\Leveling-3_GS-25-116 (3).png
3.7,,,DD,,25-116,raw,data\raw\3\Leveling-3_GS-25-116 (4).png
3.7,,,DD,,25-116,raw,data\raw\3\Leveling-3_GS-25-116 (5).png
3.7,,,DD,,25-116,raw,data\raw\3\Leveling-3_GS-25-116.png
2.2,,,DD,,25-117,raw,data\raw\3\Leveling-3_GS-25-117 (1).png
2.2,,,DD,,25-117,raw,data\raw\3\Leveling-3_GS-25-117 (2).png
2.2,,,DD,,25-117,raw,data\raw\3\Leveling-3_GS-25-117 (3).png
2.2,,,DD,,25-117,raw,data\raw\3\Leveling-3_GS-25-117 (4).png
2.2,,,DD,,25-117,raw,data\raw\3\Leveling-3_GS-25-117 (5).png
2.2,,,DD,,25-117,raw,data\raw\3\Leveling-3_GS-25-117.png
3.2,,,DD,,25-120,raw,data\raw\3\Leveling-3_GS-25-120 (1).png
3.2,,,DD,,25-120,raw,data\raw\3\Leveling-3_GS-25-120 (2).png
3.2,,,DD,,25-120,raw,data\raw\3\Leveling-3_GS-25-120 (3).png
3.2,,,DD,,25-120,raw,data\raw\3\Leveling-3_GS-25-120 (4).png
3.2,,,DD,,25-120,raw,data\raw\3\Leveling-3_GS-25-120 (5).png
3.2,,,DD,,25-120,raw,data\raw\3\Leveling-3_GS-25-120.png
2.7,,,DD,,25-126,raw,data\raw\3\Leveling-3_GS-25-126_0degrees (1).png
2.7,,,DD,,25-126,raw,data\raw\3\Leveling-3_GS-25-126_0degrees (2).png
2.7,,,DD,,25-126,raw,data\raw\3\Leveling-3_GS-25-126_0degrees (3).png
2.7,,,DD,,25-126,raw,data\raw\3\Leveling-3_GS-25-126_0degrees (4).png
2.7,,,DD,,25-126,raw,data\raw\3\Leveling-3_GS-25-126_0degrees (5).png
2.7,,,DD,,25-126,raw,data\raw\3\Leveling-3_GS-25-126_0degrees.png
3.0,,,DD,,25-127,raw,data\raw\3\Leveling-3_GS-25-127_0degrees (1).png
3.0,,,DD,,25-127,raw,data\raw\3\Leveling-3_GS-25-127_0degrees (2).png
3.0,,,DD,,25-127,raw,data\raw\3\Leveling-3_GS-25-127_0degrees (3).png
3.0,,,DD,,25-127,raw,data\raw\3\Leveling-3_GS-25-127_0degrees (4).png
3.0,,,DD,,25-127,raw,data\raw\3\Leveling-3_GS-25-127_0degrees (5).png
3.0,,,DD,,25-127,raw,data\raw\3\Leveling-3_GS-25-127_0degrees.png
3.2,,,DD,,25-137,raw,data\raw\3\Leveling-3_GS-25-137_0degrees (1).png
3.2,,,DD,,25-137,raw,data\raw\3\Leveling-3_GS-25-137_0degrees (2).png
3.2,,,DD,,25-137,raw,data\raw\3\Leveling-3_GS-25-137_0degrees (3).png
3.2,,,DD,,25-137,raw,data\raw\3\Leveling-3_GS-25-137_0degrees (4).png
3.2,,,DD,,25-137,raw,data\raw\3\Leveling-3_GS-25-137_0degrees (5).png
3.2,,,DD,,25-137,raw,data\raw\3\Leveling-3_GS-25-137_0degrees.png
3.2,,,DD,,25-142,raw,data\raw\3\Leveling-3_GS-25-142_0degrees (1).png
3.2,,,DD,,25-142,raw,data\raw\3\Leveling-3_GS-25-142_0degrees (2).png
3.2,,,DD,,25-142,raw,data\raw\3\Leveling-3_GS-25-142_0degrees (3).png
3.2,,,DD,,25-142,raw,data\raw\3\Leveling-3_GS-25-142_0degrees (4).png
3.2,,,DD,,25-142,raw,data\raw\3\Leveling-3_GS-25-142_0degrees (5).png
3.2,,,DD,,25-142,raw,data\raw\3\Leveling-3_GS-25-142_0degrees.png
3.5,,,DD,,25-106,raw,data\raw\4\Leveling-4_GS-25-106 (1).png
3.5,,,DD,,25-106,raw,data\raw\4\Leveling-4_GS-25-106 (2).png
3.5,,,DD,,25-106,raw,data\raw\4\Leveling-4_GS-25-106 (3).png
3.5,,,DD,,25-106,raw,data\raw\4\Leveling-4_GS-25-106 (4).png
3.5,,,DD,,25-106,raw,data\raw\4\Leveling-4_GS-25-106 (5).png
3.5,,,DD,,25-106,raw,data\raw\4\Leveling-4_GS-25-106.png
5.2,,,DD,,25-115,raw,data\raw\4\Leveling-4_GS-25-115 (1).png
5.2,,,DD,,25-115,raw,data\raw\4\Leveling-4_GS-25-115 (2).png
5.2,,,DD,,25-115,raw,data\raw\4\Leveling-4_GS-25-115 (3).png
5.2,,,DD,,25-115,raw,data\raw\4\Leveling-4_GS-25-115 (4).png
5.2,,,DD,,25-115,raw,data\raw\4\Leveling-4_GS-25-115 (5).png
5.2,,,DD,,25-115,raw,data\raw\4\Leveling-4_GS-25-115.png
3.7,,,DD,,25-118,raw,data\raw\4\Leveling-4_GS-25-118 (2).png
3.7,,,DD,,25-118,raw,data\raw\4\Leveling-4_GS-25-118 (3).png
3.7,,,DD,,25-118,raw,data\raw\4\Leveling-4_GS-25-118 (4).png
3.7,,,DD,,25-118,raw,data\raw\4\Leveling-4_GS-25-118 (5).png
3.7,,,DD,,25-118,raw,data\raw\4\Leveling-4_GS-25-118 (6).png
3.7,,,DD,,25-118,raw,data\raw\4\Leveling-4_GS-25-118.png
4.0,,,DD,,25-119,raw,data\raw\4\Leveling-4_GS-25-119 (1).png
4.0,,,DD,,25-119,raw,data\raw\4\Leveling-4_GS-25-119 (2).png
4.0,,,DD,,25-119,raw,data\raw\4\Leveling-4_GS-25-119 (3).png
4.0,,,DD,,25-119,raw,data\raw\4\Leveling-4_GS-25-119 (4).png
4.0,,,DD,,25-119,raw,data\raw\4\Leveling-4_GS-25-119 (5).png
4.0,,,DD,,25-119,raw,data\raw\4\Leveling-4_GS-25-119.png
4.2,,,DD,,25-145,raw,data\raw\4\Leveling-4_GS-25-145_0degrees (1).png
4.2,,,DD,,25-145,raw,data\raw\4\Leveling-4_GS-25-145_0degrees (2).png
4.2,,,DD,,25-145,raw,data\raw\4\Leveling-4_GS-25-145_0degrees (3).png
4.2,,,DD,,25-145,raw,data\raw\4\Leveling-4_GS-25-145_0degrees (4).png
4.2,,,DD,,25-145,raw,data\raw\4\Leveling-4_GS-25-145_0degrees (5).png
4.2,,,DD,,25-145,raw,data\raw\4\Leveling-4_GS-25-145_0degrees.png
4.0,,,DD,,25-110,raw,data\raw\5\Leveling-5_GS-25-110 (1).png
4.0,,,DD,,25-110,raw,data\raw\5\Leveling-5_GS-25-110 (2).png
4.0,,,DD,,25-110,raw,data\raw\5\Leveling-5_GS-25-110 (3).png
4.0,,,DD,,25-110,raw,data\raw\5\Leveling-5_GS-25-110 (4).png
4.0,,,DD,,25-110,raw,data\raw\5\Leveling-5_GS-25-110 (5).png
4.0,,,DD,,25-110,raw,data\raw\5\Leveling-5_GS-25-110.png
4.5,,,DD,,25-133,raw,data\raw\5\Leveling-5_GS-25-133_0degrees (1).png
4.5,,,DD,,25-133,raw,data\raw\5\Leveling-5_GS-25-133_0degrees (2).png
4.5,,,DD,,25-133,raw,data\raw\5\Leveling-5_GS-25-133_0degrees (3).png
4.5,,,DD,,25-133,raw,data\raw\5\Leveling-5_GS-25-133_0degrees (4).png
4.5,,,DD,,25-133,raw,data\raw\5\Leveling-5_GS-25-133_0degrees (5).png
4.5,,,DD,,25-133,raw,data\raw\5\Leveling-5_GS-25-133_0degrees.png
4.8,,,DD,,25-140,raw,data\raw\5\Leveling-5_GS-25-140_0degrees (1).png
4.8,,,DD,,25-140,raw,data\raw\5\Leveling-5_GS-25-140_0degrees (2).png
4.8,,,DD,,25-140,raw,data\raw\5\Leveling-5_GS-25-140_0degrees (3).png
4.8,,,DD,,25-140,raw,data\raw\5\Leveling-5_GS-25-140_0degrees (4).png
4.8,,,DD,,25-140,raw,data\raw\5\Leveling-5_GS-25-140_0degrees (5).png
4.8,,,DD,,25-140,raw,data\raw\5\Leveling-5_GS-25-140_0degrees.png
5.8,,,DD,,25-143,raw,data\raw\5\Leveling-5_GS-25-143_0degrees (1).png
5.8,,,DD,,25-143,raw,data\raw\5\Leveling-5_GS-25-143_0degrees (2).png
5.8,,,DD,,25-143,raw,data\raw\5\Leveling-5_GS-25-143_0degrees (3).png
5.8,,,DD,,25-143,raw,data\raw\5\Leveling-5_GS-25-143_0degrees (4).png
5.8,,,DD,,25-143,raw,data\raw\5\Leveling-5_GS-25-143_0degrees (5).png
5.8,,,DD,,25-143,raw,data\raw\5\Leveling-5_GS-25-143_0degrees.png
5.0,,,DD,,25-150,raw,data\raw\5\Leveling-5_GS-25-150_0degrees (1).png
5.0,,,DD,,25-150,raw,data\raw\5\Leveling-5_GS-25-150_0degrees (2).png
5.0,,,DD,,25-150,raw,data\raw\5\Leveling-5_GS-25-150_0degrees (3).png
5.0,,,DD,,25-150,raw,data\raw\5\Leveling-5_GS-25-150_0degrees (4).png
5.0,,,DD,,25-150,raw,data\raw\5\Leveling-5_GS-25-150_0degrees (5).png
5.0,,,DD,,25-150,raw,data\raw\5\Leveling-5_GS-25-150_0degrees.png
5.5,,,DD,,25-131,raw,data\raw\6\Leveling-6_GS-25-131_0degrees (1).png
5.5,,,DD,,25-131,raw,data\raw\6\Leveling-6_GS-25-131_0degrees (2).png
5.5,,,DD,,25-131,raw,data\raw\6\Leveling-6_GS-25-131_0degrees (3).png
5.5,,,DD,,25-131,raw,data\raw\6\Leveling-6_GS-25-131_0degrees (4).png
5.5,,,DD,,25-131,raw,data\raw\6\Leveling-6_GS-25-131_0degrees (5).png
5.5,,,DD,,25-131,raw,data\raw\6\Leveling-6_GS-25-131_0degrees.png
6.3,,,DD,,25-136,raw,data\raw\6\Leveling-6_GS-25-136_0degrees (1).png
6.3,,,DD,,25-136,raw,data\raw\6\Leveling-6_GS-25-136_0degrees (2).png
6.3,,,DD,,25-136,raw,data\raw\6\Leveling-6_GS-25-136_0degrees (3).png
6.3,,,DD,,25-136,raw,data\raw\6\Leveling-6_GS-25-136_0degrees (4).png
6.3,,,DD,,25-136,raw,data\raw\6\Leveling-6_GS-25-136_0degrees (5).png
6.3,,,DD,,25-136,raw,data\raw\6\Leveling-6_GS-25-136_0degrees.png
6.3,,,DD,,25-141,raw,data\raw\6\Leveling-6_GS-25-141_0degrees (1).png
6.3,,,DD,,25-141,raw,data\raw\6\Leveling-6_GS-25-141_0degrees (2).png
6.3,,,DD,,25-141,raw,data\raw\6\Leveling-6_GS-25-141_0degrees (3).png
6.3,,,DD,,25-141,raw,data\raw\6\Leveling-6_GS-25-141_0degrees (4).png
6.3,,,DD,,25-141,raw,data\raw\6\Leveling-6_GS-25-141_0degrees (5).png
6.3,,,DD,,25-141,raw,data\raw\6\Leveling-6_GS-25-141_0degrees.png
5.2,,,DD,,25-144,raw,data\raw\6\Leveling-6_GS-25-144_0degrees (1).png
5.2,,,DD,,25-144,raw,data\raw\6\Leveling-6_GS-25-144_0degrees (2).png
5.2,,,DD,,25-144,raw,data\raw\6\Leveling-6_GS-25-144_0degrees (3).png
5.2,,,DD,,25-144,raw,data\raw\6\Leveling-6_GS-25-144_0degrees (4).png
5.2,,,DD,,25-144,raw,data\raw\6\Leveling-6_GS-25-144_0degrees (5).png
5.2,,,DD,,25-144,raw,data\raw\6\Leveling-6_GS-25-144_0degrees.png
7.2,,,DD,,25-128,raw,data\raw\7\Leveling-7_GS-25-128_0degrees (1).png
7.2,,,DD,,25-128,raw,data\raw\7\Leveling-7_GS-25-128_0degrees (2).png
7.2,,,DD,,25-128,raw,data\raw\7\Leveling-7_GS-25-128_0degrees (3).png
7.2,,,DD,,25-128,raw,data\raw\7\Leveling-7_GS-25-128_0degrees (4).png
7.2,,,DD,,25-128,raw,data\raw\7\Leveling-7_GS-25-128_0degrees (5).png
7.2,,,DD,,25-128,raw,data\raw\7\Leveling-7_GS-25-128_0degrees.png
6.8,,,DD,,25-104,raw,data\raw\8\Leveling-8_GS-25-104 (1).png
6.8,,,DD,,25-104,raw,data\raw\8\Leveling-8_GS-25-104 (2).png
6.8,,,DD,,25-104,raw,data\raw\8\Leveling-8_GS-25-104 (3).png
6.8,,,DD,,25-104,raw,data\raw\8\Leveling-8_GS-25-104 (4).png
6.8,,,DD,,25-104,raw,data\raw\8\Leveling-8_GS-25-104 (5).png
6.8,,,DD,,25-104,raw,data\raw\8\Leveling-8_GS-25-104.png
7.2,,,DD,,25-107,raw,data\raw\8\Leveling-8_GS-25-107 (1).png
7.2,,,DD,,25-107,raw,data\raw\8\Leveling-8_GS-25-107 (2).png
7.2,,,DD,,25-107,raw,data\raw\8\Leveling-8_GS-25-107 (3).png
7.2,,,DD,,25-107,raw,data\raw\8\Leveling-8_GS-25-107 (4).png
7.2,,,DD,,25-107,raw,data\raw\8\Leveling-8_GS-25-107 (5).png
7.2,,,DD,,25-107,raw,data\raw\8\Leveling-8_GS-25-107.png
8.0,,,DD,,25-125,raw,data\raw\8\Leveling-8_GS-25-125 (1).png
8.0,,,DD,,25-125,raw,data\raw\8\Leveling-8_GS-25-125 (2).png
8.0,,,DD,,25-125,raw,data\raw\8\Leveling-8_GS-25-125 (3).png
8.0,,,DD,,25-125,raw,data\raw\8\Leveling-8_GS-25-125 (4).png
8.0,,,DD,,25-125,raw,data\raw\8\Leveling-8_GS-25-125 (5).png
8.0,,,DD,,25-125,raw,data\raw\8\Leveling-8_GS-25-125.png
6.7,,,DD,,25-132,raw,data\raw\8\Leveling-8_GS-25-132_0degrees (1).png
6.7,,,DD,,25-132,raw,data\raw\8\Leveling-8_GS-25-132_0degrees (2).png
6.7,,,DD,,25-132,raw,data\raw\8\Leveling-8_GS-25-132_0degrees (3).png
6.7,,,DD,,25-132,raw,data\raw\8\Leveling-8_GS-25-132_0degrees (4).png
6.7,,,DD,,25-132,raw,data\raw\8\Leveling-8_GS-25-132_0degrees.png
6.3,,,DD,,25-146,raw,data\raw\8\Leveling-8_GS-25-146_0degrees (1).png
6.3,,,DD,,25-146,raw,data\raw\8\Leveling-8_GS-25-146_0degrees (2).png
6.3,,,DD,,25-146,raw,data\raw\8\Leveling-8_GS-25-146_0degrees (3).png
6.3,,,DD,,25-146,raw,data\raw\8\Leveling-8_GS-25-146_0degrees (4).png
6.3,,,DD,,25-146,raw,data\raw\8\Leveling-8_GS-25-146_0degrees (5).png
6.3,,,DD,,25-146,raw,data\raw\8\Leveling-8_GS-25-146_0degrees (6).png
6.3,,,DD,,25-146,raw,data\raw\8\Leveling-8_GS-25-146_0degrees.png
7.5,,,DD,,25-148,raw,data\raw\8\Leveling-8_GS-25-148_0degrees (1).png
7.5,,,DD,,25-148,raw,data\raw\8\Leveling-8_GS-25-148_0degrees (2).png
7.5,,,DD,,25-148,raw,data\raw\8\Leveling-8_GS-25-148_0degrees (3).png
7.5,,,DD,,25-148,raw,data\raw\8\Leveling-8_GS-25-148_0degrees (4).png
7.5,,,DD,,25-148,raw,data\raw\8\Leveling-8_GS-25-148_0degrees (5).png
7.5,,,DD,,25-148,raw,data\raw\8\Leveling-8_GS-25-148_0degrees.png
8.3,,,DD,,25-105,raw,data\raw\9\Leveling-9_GS-25-105 (1).png
8.3,,,DD,,25-105,raw,data\raw\9\Leveling-9_GS-25-105 (2).png
8.3,,,DD,,25-105,raw,data\raw\9\Leveling-9_GS-25-105 (3).png
8.3,,,DD,,25-105,raw,data\raw\9\Leveling-9_GS-25-105 (4).png
8.3,,,DD,,25-105,raw,data\raw\9\Leveling-9_GS-25-105 (5).png
8.3,,,DD,,25-105,raw,data\raw\9\Leveling-9_GS-25-105.png
9.5,,,DD,,25-124,raw,data\raw\9\Leveling-9_GS-25-124 (1).png
9.5,,,DD,,25-124,raw,data\raw\9\Leveling-9_GS-25-124 (2).png
9.5,,,DD,,25-124,raw,data\raw\9\Leveling-9_GS-25-124 (3).png
9.5,,,DD,,25-124,raw,data\raw\9\Leveling-9_GS-25-124 (4).png
9.5,,,DD,,25-124,raw,data\raw\9\Leveling-9_GS-25-124 (5).png
9.5,,,DD,,25-124,raw,data\raw\9\Leveling-9_GS-25-124.png
9.5,,,DD,,25-134,raw,data\raw\9\Leveling-9_GS-25-134_0degrees (1).png
9.5,,,DD,,25-134,raw,data\raw\9\Leveling-9_GS-25-134_0degrees (2).png
9.5,,,DD,,25-134,raw,data\raw\9\Leveling-9_GS-25-134_0degrees (3).png
9.5,,,DD,,25-134,raw,data\raw\9\Leveling-9_GS-25-134_0degrees (4).png
9.5,,,DD,,25-134,raw,data\raw\9\Leveling-9_GS-25-134_0degrees (5).png
9.5,,,DD,,25-134,raw,data\raw\9\Leveling-9_GS-25-134_0degrees.png
9.0,,,DD,,25-135,raw,data\raw\9\Leveling-9_GS-25-135_0degrees (1).png
9.0,,,DD,,25-135,raw,data\raw\9\Leveling-9_GS-25-135_0degrees (2).png
9.0,,,DD,,25-135,raw,data\raw\9\Leveling-9_GS-25-135_0degrees (3).png
9.0,,,DD,,25-135,raw,data\raw\9\Leveling-9_GS-25-135_0degrees (4).png
9.0,,,DD,,25-135,raw,data\raw\9\Leveling-9_GS-25-135_0degrees (5).png
9.0,,,DD,,25-135,raw,data\raw\9\Leveling-9_GS-25-135_0degrees.png
8.3,,,DD,,25-147,raw,data\raw\9\Leveling-9_GS-25-147_0degrees (1).png
8.3,,,DD,,25-147,raw,data\raw\9\Leveling-9_GS-25-147_0degrees (2).png
8.3,,,DD,,25-147,raw,data\raw\9\Leveling-9_GS-25-147_0degrees (3).png
8.3,,,DD,,25-147,raw,data\raw\9\Leveling-9_GS-25-147_0degrees (4).png
8.3,,,DD,,25-147,raw,data\raw\9\Leveling-9_GS-25-147_0degrees (5).png
8.3,,,DD,,25-147,raw,data\raw\9\Leveling-9_GS-25-147_0degrees.png
9.5,,,DD,,25-149,raw,data\raw\9\Leveling-9_GS-25-149_0degrees (1).png
9.5,,,DD,,25-149,raw,data\raw\9\Leveling-9_GS-25-149_0degrees (2).png
9.5,,,DD,,25-149,raw,data\raw\9\Leveling-9_GS-25-149_0degrees (3).png
9.5,,,DD,,25-149,raw,data\raw\9\Leveling-9_GS-25-149_0degrees (4).png
9.5,,,DD,,25-149,raw,data\raw\9\Leveling-9_GS-25-149_0degrees (5).png
9.5,,,DD,,25-149,raw,data\raw\9\Leveling-9_GS-25-149_0degrees.png
